Name of Initiative,Organization Name,Notes,Location 1,Street Address,City,State,State Based,Episodes,Facebook,Twitter,Youtube,Website
BPCI Initiative: Model 2,Wyoming Medical Center,Number of Episodes: 1 ,"1233 E. Second St.
Casper, WY
(42.84868625093367, -106.30882757285275)",1233 E. Second St.,Casper,WY,,Major joint replacement of the lower extremity,,,,
BPCI Initiative: Model 2,Penn Presbyterian Medical Center,"Number of Episodes: 48  //  Convening Organization(s): Remedy Partners, Inc ","51 N. 39th St.
Philadelphia, PA
(39.95759075724152, -75.19943496920564)",51 N. 39th St.,Philadelphia,PA,,"Urinary tract infection, Transient ischemia, Syncope & collapse, Stroke, Spinal fusion (non-cervical), Simple pneumonia and respiratory infections, Sepsis, Revision of the hip or knee, Renal failure, Removal of orthopedic devices, Red blood cell disorders, Percutaneous coronary intervention, Pacemaker device replacement or revision, Pacemaker, Other vascular surgery, Other respiratory, Other knee procedures, Nutritional and metabolic disorders, Medical peripheral vascular disorders, Medical non-infectious orthopedic, Major joint upper extremity, Major joint replacement of the lower extremity, Major cardiovascular procedure, Major bowel, Lower extremity and humerus procedure except hip, foot, femur, Hip & femur procedures except major joint, Gastrointestinal obstruction, Gastrointestinal hemorrhage, Fractures femur and hip/pelvis, Esophagitis, gastroenteritis and other digestive disorders, Double joint replacement of the lower extremity, Diabetes, COPD, bronchitis/asthma, Congestive heart failure, Complex non-cervical spinal fusion, Combined anterior posterior spinal fusion, Chest pain, Cervical spinal fusion, Cellulitis, Cardiac Valve, Cardiac defibrillator, Cardiac arrhythmia, CABG, Back & neck except spinal fusion, Atherosclerosis, Amputation, AICD generator or lead, Acute myocardial infarction",,,,
BPCI Initiative: Model 2,DMC Surgery Hospital,Number of Episodes: 1  //  Convening Organization(s): VHS of Michigan - Detroit Medical Center,"30671 Stephenson Hwy.
Madison Heights, MI
(42.5183382899109, -83.11958421684488)",30671 Stephenson Hwy.,Madison Heights,MI,,Major joint replacement of the lower extremity,,,,
BPCI Initiative: Model 2,Lynchburg General Hospital,Number of Episodes: 2  //  Convening Organization(s): Geisinger Clinic,"1901 Tate Springs Rd.
Lynchburg, VA
(37.414757719395766, -79.17129970482938)",1901 Tate Springs Rd.,Lynchburg,VA,,"Revision of the hip or knee, Congestive heart failure",,,,
BPCI Initiative: Model 2,St. Catherine of Siena Medical Center,Number of Episodes: 2  //  Convening Organization(s): Catholic Health Services of Long Island,"50 Route 25A
Smithtown, NY
(40.86558690002963, -73.22053259020863)",50 Route 25A,Smithtown,NY,,"Major joint replacement of the lower extremity, Congestive heart failure",,,,
BPCI Initiative: Model 2,St. Luke's Hospital-Warren Campus,"Number of Episodes: 48  //  Convening Organization(s): Remedy Partners, Inc ","185 Roseberry St.
Phillipsburg, NJ
(40.7013390686929, -75.17940706761317)",185 Roseberry St.,Phillipsburg,NJ,,"Urinary tract infection, Transient ischemia, Syncope & collapse, Stroke, Spinal fusion (non-cervical), Simple pneumonia and respiratory infections, Sepsis, Revision of the hip or knee, Renal failure, Removal of orthopedic devices, Red blood cell disorders, Percutaneous coronary intervention, Pacemaker device replacement or revision, Pacemaker, Other vascular surgery, Other respiratory, Other knee procedures, Nutritional and metabolic disorders, Medical peripheral vascular disorders, Medical non-infectious orthopedic, Major joint upper extremity, Major joint replacement of the lower extremity, Major cardiovascular procedure, Major bowel, Lower extremity and humerus procedure except hip, foot, femur, Hip & femur procedures except major joint, Gastrointestinal obstruction, Gastrointestinal hemorrhage, Fractures femur and hip/pelvis, Esophagitis, gastroenteritis and other digestive disorders, Double joint replacement of the lower extremity, Diabetes, COPD, bronchitis/asthma, Congestive heart failure, Complex non-cervical spinal fusion, Combined anterior posterior spinal fusion, Chest pain, Cervical spinal fusion, Cellulitis, Cardiac Valve, Cardiac defibrillator, Cardiac arrhythmia, CABG, Back & neck except spinal fusion, Atherosclerosis, Amputation, AICD generator or lead, Acute myocardial infarction",,,,
BPCI Initiative: Model 2,Lovelace Women's Hospital,"Number of Episodes: 34  //  Convening Organization(s): NaviHealth, Inc.","4701 Montgomery Blvd. NE
Albuquerque, NM
(35.131073317513085, -106.59018946293952)",4701 Montgomery Blvd. NE,Albuquerque,NM,,"Urinary tract infection, Syncope & collapse, Spinal fusion (non-cervical), Revision of the hip or knee, Removal of orthopedic devices, Percutaneous coronary intervention, Pacemaker device replacement or revision, Pacemaker, Other vascular surgery, Other knee procedures, Medical peripheral vascular disorders, Medical non-infectious orthopedic, Major joint upper extremity, Major joint replacement of the lower extremity, Major cardiovascular procedure, Lower extremity and humerus procedure except hip, foot, femur, Hip & femur procedures except major joint, Gastrointestinal hemorrhage, Fractures femur and hip/pelvis, Double joint replacement of the lower extremity, Congestive heart failure, Complex non-cervical spinal fusion, Combined anterior posterior spinal fusion, Chest pain, Cervical spinal fusion, Cardiac Valve, Cardiac defibrillator, Cardiac arrhythmia, CABG, Back & neck except spinal fusion, Atherosclerosis, Amputation, AICD generator or lead, Acute myocardial infarction",,,,
BPCI Initiative: Model 2,St. Luke's Hospital Miners Memorial Hospital,"Number of Episodes: 48  //  Convening Organization(s): Remedy Partners, Inc ","360 West Ruddle St.
Coaldale, PA
(40.82140259541806, -75.91458837811524)",360 West Ruddle St.,Coaldale,PA,,"Urinary tract infection, Transient ischemia, Syncope & collapse, Stroke, Spinal fusion (non-cervical), Simple pneumonia and respiratory infections, Sepsis, Revision of the hip or knee, Renal failure, Removal of orthopedic devices, Red blood cell disorders, Percutaneous coronary intervention, Pacemaker device replacement or revision, Pacemaker, Other vascular surgery, Other respiratory, Other knee procedures, Nutritional and metabolic disorders, Medical peripheral vascular disorders, Medical non-infectious orthopedic, Major joint upper extremity, Major joint replacement of the lower extremity, Major cardiovascular procedure, Major bowel, Lower extremity and humerus procedure except hip, foot, femur, Hip & femur procedures except major joint, Gastrointestinal obstruction, Gastrointestinal hemorrhage, Fractures femur and hip/pelvis, Esophagitis, gastroenteritis and other digestive disorders, Double joint replacement of the lower extremity, Diabetes, COPD, bronchitis/asthma, Congestive heart failure, Complex non-cervical spinal fusion, Combined anterior posterior spinal fusion, Chest pain, Cervical spinal fusion, Cellulitis, Cardiac Valve, Cardiac defibrillator, Cardiac arrhythmia, CABG, Back & neck except spinal fusion, Atherosclerosis, Amputation, AICD generator or lead, Acute myocardial infarction",,,,
BPCI Initiative: Model 2,Albert Einstein Medical Center,"Number of Episodes: 48  //  Convening Organization(s): Remedy Partners, Inc ","5501 Old York Rd.
Philadelphia, PA
(40.038258562254676, -75.14456815544996)",5501 Old York Rd.,Philadelphia,PA,,"Urinary tract infection, Transient ischemia, Syncope & collapse, Stroke, Spinal fusion (non-cervical), Simple pneumonia and respiratory infections, Sepsis, Revision of the hip or knee, Renal failure, Removal of orthopedic devices, Red blood cell disorders, Percutaneous coronary intervention, Pacemaker device replacement or revision, Pacemaker, Other vascular surgery, Other respiratory, Other knee procedures, Nutritional and metabolic disorders, Medical peripheral vascular disorders, Medical non-infectious orthopedic, Major joint upper extremity, Major joint replacement of the lower extremity, Major cardiovascular procedure, Major bowel, Lower extremity and humerus procedure except hip, foot, femur, Hip & femur procedures except major joint, Gastrointestinal obstruction, Gastrointestinal hemorrhage, Fractures femur and hip/pelvis, Esophagitis, gastroenteritis and other digestive disorders, Double joint replacement of the lower extremity, Diabetes, COPD, bronchitis/asthma, Congestive heart failure, Complex non-cervical spinal fusion, Combined anterior posterior spinal fusion, Chest pain, Cervical spinal fusion, Cellulitis, Cardiac Valve, Cardiac defibrillator, Cardiac arrhythmia, CABG, Back & neck except spinal fusion, Atherosclerosis, Amputation, AICD generator or lead, Acute myocardial infarction",,,,
BPCI Initiative: Model 2,St. Charles Hospital ,Number of Episodes: 2  //  Convening Organization(s): Catholic Health Services of Long Island,"200 Belle Terre Rd.
Port Jefferson, NY
(40.94777192474143, -73.06035149251747)",200 Belle Terre Rd.,Port Jefferson,NY,,"Major joint replacement of the lower extremity, Congestive heart failure",,,,
BPCI Initiative: Model 2,Pocono Medical Center,"Number of Episodes: 1  //  Convening Organization(s): Estes Park Institute, at Horty, Springer & Mattern","206 East Brown St.
East Stroudsburg, PA
(40.99226568229875, -75.17476832556319)",206 East Brown St.,East Stroudsburg,PA,,"COPD, bronchitis/asthma",,,,
BPCI Initiative: Model 2,CGH Medical Center,"Number of Episodes: 1  //  Convening Organization(s): Estes Park Institute, at Horty, Springer & Mattern","100 East LeFevre Rd.
Sterling, IL
(41.80160672652032, -89.69715076069987)",100 East LeFevre Rd.,Sterling,IL,,Congestive heart failure,,,,
BPCI Initiative: Model 2,Sinai Grace Hospital,Number of Episodes: 1  //  Convening Organization(s): VHS of Michigan - Detroit Medical Center,"6071 W. Outer Dr.
Detroit, MI
(42.42005138532875, -83.1830673588932)",6071 W. Outer Dr.,Detroit,MI,,Major joint replacement of the lower extremity,,,,
BPCI Initiative: Model 2,Tennessee Orthopaedic Alliance,Number of Episodes: 3  //  Convening Organization(s): Precedent Health,"301 21st Ave. North
Nashville, TN
(36.15346756652281, -86.8034590590259)",301 21st Ave. North,Nashville,TN,,"Spinal Fusion (non-cervical), Major joint replacement of the lower extremity, Cervical spinal fusion",,,,
BPCI Initiative: Model 2,Saint Elizabeth Regional Medical Center,Number of Episodes: 4  //  Convening Organization(s): Catholic Health Initiatives,"555 South 70th St.
Lincoln, NE
(40.8087720783131, -96.6251797715185)",555 South 70th St.,Lincoln,NE,,"Spinal fusion (non-cervical), Major joint replacement of the lower extremity, Combined anterior posterior spinal fusion, Cervical spinal fusion",,,,
BPCI Initiative: Model 2,St. Joseph Hospital ,Number of Episodes: 2  //  Convening Organization(s): Catholic Health Services of Long Island,"4295 Hempstead Tpke.
Bethpage, NY
(40.72584559399132, -73.47848334071688)",4295 Hempstead Tpke.,Bethpage,NY,,"Major joint replacement of the lower extremity, Congestive heart failure",,,,
BPCI Initiative: Model 2,SSM DePaul Health Center,Number of Episodes: 1  //  Convening Organization(s): SSM Managed Care Organization,"12303 DePaul Dr.
Bridgeton, MO
(38.74912391568431, -90.4343827153621)",12303 DePaul Dr.,Bridgeton,MO,,Major joint replacement of the lower extremity,,,,
BPCI Initiative: Model 2,Nebraska Methodist Hospital,Number of Episodes: 2  //  Convening Organization(s): Methodist Health Partners,"8303 Dodge St.
Omaha, NE
(41.259638184482355, -96.04135789653753)",8303 Dodge St.,Omaha,NE,,"Major joint replacement of the lower extremity, Major bowel",,,,
BPCI Initiative: Model 2,"Morton Hospital, A Steward Family Hospital, Inc.","Number of Episodes: 48  //  Convening Organization(s): Remedy Partners, Inc ","88 Washington St.
Taunton, MA
(41.905243482876244, -71.09487526815872)",88 Washington St.,Taunton,MA,,"Urinary tract infection, Transient ischemia, Syncope & collapse, Stroke, Spinal fusion (non-cervical), Simple pneumonia and respiratory infections, Sepsis, Revision of the hip or knee, Renal failure, Removal of orthopedic devices, Red blood cell disorders, Percutaneous coronary intervention, Pacemaker device replacement or revision, Pacemaker, Other vascular surgery, Other respiratory, Other knee procedures, Nutritional and metabolic disorders, Medical peripheral vascular disorders, Medical non-infectious orthopedic, Major joint upper extremity, Major joint replacement of the lower extremity, Major cardiovascular procedure, Major bowel, Lower extremity and humerus procedure except hip, foot, femur, Hip & femur procedures except major joint, Gastrointestinal obstruction, Gastrointestinal hemorrhage, Fractures femur and hip/pelvis, Esophagitis, gastroenteritis and other digestive disorders, Double joint replacement of the lower extremity, Diabetes, COPD, bronchitis/asthma, Congestive heart failure, Complex non-cervical spinal fusion, Combined anterior posterior spinal fusion, Chest pain, Cervical spinal fusion, Cellulitis, Cardiac Valve, Cardiac defibrillator, Cardiac arrhythmia, CABG, Back & neck except spinal fusion, Atherosclerosis, Amputation, AICD generator or lead, Acute myocardial infarction",,,,
BPCI Initiative: Model 2,St. Vincent Medical Center - Southside,Number of Episodes: 2  //  Convening Organization(s): St Vincents Healthcare,"4201 Belfort Rd.&nbsp;
Jacksonville, FL
(30.331470000440333, -81.65622000035256)",4201 Belfort Rd. ,Jacksonville,FL,,"Spinal fusion (non-cervical), Major joint replacement of the lower extremity",,,,
BPCI Initiative: Model 2,Einstein Medical Center Montgomery,Number of Episodes: 48  //  Convening Organization(s): Association of American Medical Colleges and Albert Einstein Healthcare Network,"559 W. Germantown Pike
E Norriton, PA
(40.142830000204526, -75.33127999957219)",559 W. Germantown Pike,E Norriton,PA ,,"Urinary tract infection, Transient ischemia, Syncope & collapse, Stroke, Spinal fusion (non-cervical), Simple pneumonia and respiratory infections, Sepsis, Revision of the hip or knee, Renal failure, Removal of orthopedic devices, Red blood cell disorders, Percutaneous coronary intervention, Pacemaker device replacement or revision, Pacemaker, Other vascular surgery, Other respiratory, Other knee procedures, Nutritional and metabolic disorders, Medical peripheral vascular disorders, Medical non-infectious orthopedic, Major joint upper extremity, Major joint replacement of the lower extremity, Major cardiovascular procedure, Major bowel, Lower extremity and humerus procedure except hip, foot, femur, Hip & femur procedures except major joint, Gastrointestinal obstruction, Gastrointestinal hemorrhage, Fractures femur and hip/pelvis, Esophagitis, gastroenteritis and other digestive disorders, Double joint replacement of the lower extremity, Diabetes, COPD, bronchitis/asthma, Congestive heart failure, Complex non-cervical spinal fusion, Combined anterior posterior spinal fusion, Chest pain, Cervical spinal fusion, Cellulitis, Cardiac Valve, Cardiac defibrillator, Cardiac arrhythmia, CABG, Back & neck except spinal fusion, Atherosclerosis, Amputation, AICD generator or lead, Acute myocardial infarction",,,,
BPCI Initiative: Model 2,Blue Ridge Healthcare System-Valdese General Hospital,"Number of Episodes: 4  //  Convening Organization(s): Estes Park Institute, at Horty, Springer & Mattern","720 Malcolm Blvd.
Valdese, NC
(35.74400999956197, -81.56479000005828)",720 Malcolm Blvd.,Valdese,NC,,"Stroke, Major joint upper extremity, Major joint replacement of the lower extremity, COPD, bronchitis/asthma",,,,
BPCI Initiative: Model 2,Essentia Health St. Mary's Medical Center,Number of Episodes: 3  //  Convening Organization(s): Geisinger Clinic and Essentia,"407 E. Third St.
Duluth, MN
(46.792935305131856, -92.0963715537205)",407 E. Third St.,Duluth,MN,,"Major joint replacement of the lower extremity, Congestive heart failure, CABG",,,,
BPCI Initiative: Model 2,Hackensack University Medical Center,"Number of Episodes: 48  //  Convening Organization(s): Remedy Partners, Inc ","30 Prospect Ave.
Hackensack, NJ
(40.88437996804317, -74.05766823076824)",30 Prospect Ave.,Hackensack,NJ,,"Urinary tract infection, Transient ischemia, Syncope & collapse, Stroke, Spinal fusion (non-cervical), Simple pneumonia and respiratory infections, Sepsis, Revision of the hip or knee, Renal failure, Removal of orthopedic devices, Red blood cell disorders, Percutaneous coronary intervention, Pacemaker device replacement or revision, Pacemaker, Other vascular surgery, Other respiratory, Other knee procedures, Nutritional and metabolic disorders, Medical peripheral vascular disorders, Medical non-infectious orthopedic, Major joint upper extremity, Major joint replacement of the lower extremity, Major cardiovascular procedure, Major bowel, Lower extremity and humerus procedure except hip, foot, femur, Hip & femur procedures except major joint, Gastrointestinal obstruction, Gastrointestinal hemorrhage, Fractures femur and hip/pelvis, Esophagitis, gastroenteritis and other digestive disorders, Double joint replacement of the lower extremity, Diabetes, COPD, bronchitis/asthma, Congestive heart failure, Complex non-cervical spinal fusion, Combined anterior posterior spinal fusion, Chest pain, Cervical spinal fusion, Cellulitis, Cardiac Valve, Cardiac defibrillator, Cardiac arrhythmia, CABG, Back & neck except spinal fusion, Atherosclerosis, Amputation, AICD generator or lead, Acute myocardial infarction",,,,
BPCI Initiative: Model 2,Jersey City Medical Center,"Number of Episodes: 48  //  Convening Organization(s): Remedy Partners, Inc ","355 Grand St.
Jersey City, NJ
(40.7167354618345, -74.050676981859)",355 Grand St. ,Jersey City,NJ,,"Urinary tract infection, Transient ischemia, Syncope & collapse, Stroke, Spinal fusion (non-cervical), Simple pneumonia and respiratory infections, Sepsis, Revision of the hip or knee, Renal failure, Removal of orthopedic devices, Red blood cell disorders, Percutaneous coronary intervention, Pacemaker device replacement or revision, Pacemaker, Other vascular surgery, Other respiratory, Other knee procedures, Nutritional and metabolic disorders, Medical peripheral vascular disorders, Medical non-infectious orthopedic, Major joint upper extremity, Major joint replacement of the lower extremity, Major cardiovascular procedure, Major bowel, Lower extremity and humerus procedure except hip, foot, femur, Hip & femur procedures except major joint, Gastrointestinal obstruction, Gastrointestinal hemorrhage, Fractures femur and hip/pelvis, Esophagitis, gastroenteritis and other digestive disorders, Double joint replacement of the lower extremity, Diabetes, COPD, bronchitis/asthma, Congestive heart failure, Complex non-cervical spinal fusion, Combined anterior posterior spinal fusion, Chest pain, Cervical spinal fusion, Cellulitis, Cardiac Valve, Cardiac defibrillator, Cardiac arrhythmia, CABG, Back & neck except spinal fusion, Atherosclerosis, Amputation, AICD generator or lead, Acute myocardial infarction",,,,
BPCI Initiative: Model 2,Howell Allen Clinic,Number of Episodes: 2  //  Convening Organization(s): Precedent Health,"2011 Murphy Ave.
Nashville, TN
(36.15585076990044, -86.80364791665204)",2011 Murphy Ave.,Nashville,TN,,"Spinal Fusion (non-cervical), Cervical spinal fusion",,,,
BPCI Initiative: Model 2,Community Hospital of San Bernardino,"Number of Episodes: 48  //  Convening Organization(s): NaviHealth, Inc.","1805 Medical Center Dr.
San Bernardino, CA
(34.131642781714525, -117.32250487851057)",1805 Medical Center Dr.,San Bernardino,CA,,"Urinary tract infection, Transient ischemia, Syncope & collapse, Stroke, Spinal fusion (non-cervical), Simple pneumonia and respiratory infections, Sepsis, Revision of the hip or knee, Renal failure, Removal of orthopedic devices, Red blood cell disorders, Percutaneous coronary intervention, Pacemaker device replacement or revision, Pacemaker, Other vascular surgery, Other respiratory, Other knee procedures, Nutritional and metabolic disorders, Medical peripheral vascular disorders, Medical non-infectious orthopedic, Major joint upper extremity, Major joint replacement of the lower extremity, Major cardiovascular procedure, Major bowel, Lower extremity and humerus procedure except hip, foot, femur, Hip & femur procedures except major joint, Gastrointestinal obstruction, Gastrointestinal hemorrhage, Fractures femur and hip/pelvis, Esophagitis, gastroenteritis and other digestive disorders, Double joint replacement of the lower extremity, Diabetes, COPD, bronchitis/asthma, Congestive heart failure, Complex non-cervical spinal fusion, Combined anterior posterior spinal fusion, Chest pain, Cervical spinal fusion, Cellulitis, Cardiac Valve, Cardiac defibrillator, Cardiac arrhythmia, CABG, Back & neck except spinal fusion, Atherosclerosis, Amputation, AICD generator or lead, Acute myocardial infarction",,,,
BPCI Initiative: Model 2,SSM St. Mary's Health Center,Number of Episodes: 1  //  Convening Organization(s): SSM Managed Care Organization,"6420 Clayton Rd.
Richmond Heights, MO
(38.633968594517796, -90.31077000719444)",6420 Clayton Rd.,Richmond Heights,MO,,Congestive heart failure,,,,
BPCI Initiative: Model 2,Hillcrest Hospital South,"Number of Episodes: 20  //  Convening Organization(s): NaviHealth, Inc.","8801 S. 101st E. Ave
Tulsa, OK
(36.03536950786799, -95.86477446322732)",8801 S. 101st E. Ave,Tulsa,OK,,"Urinary tract infection, Spinal fusion (non-cervical), Revision of the hip or knee, Removal of orthopedic devices, Other vascular surgery, Other knee procedures, Medical non-infectious orthopedic, Major joint upper extremity, Major joint replacement of the lower extremity, Lower extremity and humerus procedure except hip, foot, femur, Hip & femur procedures except major joint, Gastrointestinal hemorrhage, Fractures femur and hip/pelvis, Double joint replacement of the lower extremity, Complex non-cervical spinal fusion, Combined anterior posterior spinal fusion, Cervical spinal fusion, Cardiac arrhythmia, Back & neck except spinal fusion, Amputation",,,,
BPCI Initiative: Model 2,St. Luke's Hospital,"Number of Episodes: 48  //  Convening Organization(s): Remedy Partners, Inc ","801 Ostrum St.
Bethlehem, PA
(40.60861995414847, -75.39267176689229)",801 Ostrum St.,Bethlehem,PA,,"Urinary tract infection, Transient ischemia, Syncope & collapse, Stroke, Spinal fusion (non-cervical), Simple pneumonia and respiratory infections, Sepsis, Revision of the hip or knee, Renal failure, Removal of orthopedic devices, Red blood cell disorders, Percutaneous coronary intervention, Pacemaker device replacement or revision, Pacemaker, Other vascular surgery, Other respiratory, Other knee procedures, Nutritional and metabolic disorders, Medical peripheral vascular disorders, Medical non-infectious orthopedic, Major joint upper extremity, Major joint replacement of the lower extremity, Major cardiovascular procedure, Major bowel, Lower extremity and humerus procedure except hip, foot, femur, Hip & femur procedures except major joint, Gastrointestinal obstruction, Gastrointestinal hemorrhage, Fractures femur and hip/pelvis, Esophagitis, gastroenteritis and other digestive disorders, Double joint replacement of the lower extremity, Diabetes, COPD, bronchitis/asthma, Congestive heart failure, Complex non-cervical spinal fusion, Combined anterior posterior spinal fusion, Chest pain, Cervical spinal fusion, Cellulitis, Cardiac Valve, Cardiac defibrillator, Cardiac arrhythmia, CABG, Back & neck except spinal fusion, Atherosclerosis, Amputation, AICD generator or lead, Acute myocardial infarction",,,,
BPCI Initiative: Model 2,Maine Medical Center,Number of Episodes: 1  //  Convening Organization(s): Maine Heart Center,"22 Bramhall St.
Portland, ME
(43.652291378452546, -70.27512142427591)",22 Bramhall St.,Portland,ME,,CABG,,,,
BPCI Initiative: Model 2,"Meriter Health Services, Inc.",Number of Episodes: 1  ,"202 S. Park St.
Madison, WI
(43.06505413796299, -89.40090792371103)",202 S. Park St.,Madison,WI,,Major joint replacement of the lower extremity,,,,
BPCI Initiative: Model 2,Saint Francis Hospital South,Number of Episodes: 1  //  Convening Organization(s): Saint Francis Health System,"10501 E. 91st St. South
Tulsa, OK
(36.03191520104264, -95.85691594154844)",10501 E. 91st St. South,Tulsa ,OK,,Congestive heart failure,,,,
BPCI Initiative: Model 2,Richmond University Medical Center,Number of Episodes: 48  //  Convening Organization(s): Touchstone Health,"355 Bard Ave.&nbsp;
Staten Island, NY
(40.64244000010609, -74.07527999967209)",355 Bard Ave. ,Staten Island,NY ,,"Urinary tract infection, Transient ischemia, Syncope & collapse, Stroke, Spinal fusion (non-cervical), Simple pneumonia and respiratory infections, Sepsis, Revision of the hip or knee, Renal failure, Removal of orthopedic devices, Red blood cell disorders, Percutaneous coronary intervention, Pacemaker device replacement or revision, Pacemaker, Other vascular surgery, Other respiratory, Other knee procedures, Nutritional and metabolic disorders, Medical peripheral vascular disorders, Medical non-infectious orthopedic, Major joint upper extremity, Major joint replacement of the lower extremity, Major cardiovascular procedure, Major bowel, Lower extremity and humerus procedure except hip, foot, femur, Hip & femur procedures except major joint, Gastrointestinal obstruction, Gastrointestinal hemorrhage, Fractures femur and hip/pelvis, Esophagitis, gastroenteritis and other digestive disorders, Double joint replacement of the lower extremity, Diabetes, COPD, bronchitis/asthma, Congestive heart failure, Complex non-cervical spinal fusion, Combined anterior posterior spinal fusion, Chest pain, Cervical spinal fusion, Cellulitis, Cardiac Valve, Cardiac defibrillator, Cardiac arrhythmia, CABG, Back & neck except spinal fusion, Atherosclerosis, Amputation, AICD generator or lead, Acute myocardial infarction",,,,
BPCI Initiative: Model 2,Huron Valley Sinai Hospital,Number of Episodes: 1  //  Convening Organization(s): VHS of Michigan - Detroit Medical Center,"1 William Carls Dr.
Commerce Twp., MI
(42.59263128275137, -83.49987153015468)",1 William Carls Dr. ,Commerce Twp.,MI,,Major joint replacement of the lower extremity,,,,
BPCI Initiative: Model 2,Canton-Potsdam Hospital,"Number of Episodes: 5  //  Convening Organization(s): Estes Park Institute, at Horty, Springer & Mattern","50 Leroy St.
Potsdam, NY
(44.676630221248274, -74.9814842754048)",50 Leroy St.,Potsdam,NY,,"Simple pneumonia and respiratory infections, Major joint upper extremity, Major joint replacement of the lower extremity, COPD, bronchitis/asthma, Congestive heart failure",,,,
BPCI Initiative: Model 2,St Joseph's Regional Medical Center,"Number of Episodes: 48  //  Convening Organization(s): Remedy Partners, Inc ","703 Main St.
Paterson, NJ
(40.90270531470338, -74.16689524663126)",703 Main St.,Paterson,NJ,,"Urinary tract infection, Transient ischemia, Syncope & collapse, Stroke, Spinal fusion (non-cervical), Simple pneumonia and respiratory infections, Sepsis, Revision of the hip or knee, Renal failure, Removal of orthopedic devices, Red blood cell disorders, Percutaneous coronary intervention, Pacemaker device replacement or revision, Pacemaker, Other vascular surgery, Other respiratory, Other knee procedures, Nutritional and metabolic disorders, Medical peripheral vascular disorders, Medical non-infectious orthopedic, Major joint upper extremity, Major joint replacement of the lower extremity, Major cardiovascular procedure, Major bowel, Lower extremity and humerus procedure except hip, foot, femur, Hip & femur procedures except major joint, Gastrointestinal obstruction, Gastrointestinal hemorrhage, Fractures femur and hip/pelvis, Esophagitis, gastroenteritis and other digestive disorders, Double joint replacement of the lower extremity, Diabetes, COPD, bronchitis/asthma, Congestive heart failure, Complex non-cervical spinal fusion, Combined anterior posterior spinal fusion, Chest pain, Cervical spinal fusion, Cellulitis, Cardiac Valve, Cardiac defibrillator, Cardiac arrhythmia, CABG, Back & neck except spinal fusion, Atherosclerosis, Amputation, AICD generator or lead, Acute myocardial infarction",,,,
BPCI Initiative: Model 2,St. Mary Medical Center Langhorne PA,Number of Episodes: 1  ,"1201 Langhorne-Newtown Rd.
Langhorne, PA
(40.20159654169302, -74.92954160389031)",1201 Langhorne-Newtown Rd.,Langhorne ,PA,,Congestive heart failure,,,,
BPCI Initiative: Model 2,Winona Health Services,"Number of Episodes: 1  //  Convening Organization(s): Estes Park Institute, at Horty, Springer & Mattern","855 Mankato Ave.
Winona, MN
(44.0333581012255, -91.62222123217508)",855 Mankato Ave.,Winona,MN,,Simple pneumonia and respiratory infections,,,,
BPCI Initiative: Model 2,St. Luke's Hospital-Anderson Campus,"Number of Episodes: 48  //  Convening Organization(s): Remedy Partners, Inc ","1600 Riverside Dr.
Easton, PA
(40.69118999991872, -75.20982999985443)",1600 Riverside Dr.,Easton,PA,,"Urinary tract infection, Transient ischemia, Syncope & collapse, Stroke, Spinal fusion (non-cervical), Simple pneumonia and respiratory infections, Sepsis, Revision of the hip or knee, Renal failure, Removal of orthopedic devices, Red blood cell disorders, Percutaneous coronary intervention, Pacemaker device replacement or revision, Pacemaker, Other vascular surgery, Other respiratory, Other knee procedures, Nutritional and metabolic disorders, Medical peripheral vascular disorders, Medical non-infectious orthopedic, Major joint upper extremity, Major joint replacement of the lower extremity, Major cardiovascular procedure, Major bowel, Lower extremity and humerus procedure except hip, foot, femur, Hip & femur procedures except major joint, Gastrointestinal obstruction, Gastrointestinal hemorrhage, Fractures femur and hip/pelvis, Esophagitis, gastroenteritis and other digestive disorders, Double joint replacement of the lower extremity, Diabetes, COPD, bronchitis/asthma, Congestive heart failure, Complex non-cervical spinal fusion, Combined anterior posterior spinal fusion, Chest pain, Cervical spinal fusion, Cellulitis, Cardiac Valve, Cardiac defibrillator, Cardiac arrhythmia, CABG, Back & neck except spinal fusion, Atherosclerosis, Amputation, AICD generator or lead, Acute myocardial infarction",,,,
